employee_id,employee_code,full_name,date_of_birth,gender,place_of_birth,ethnicity,religion,marital_status,phone_number,personal_email,company_email,password_hash,permanent_address,current_address,nationality_id,avatar_url,bank_account,bank_id,bank_branch,emergency_contact_name,emergency_contact_phone,emergency_contact_relation,status,hire_date,seniority_start_date,base_leave_days,last_seniority_calc,resignation_date,created_at,updated_at,created_by,updated_by
119,NV0119,"V?? Th??? Thanh H????ng",1993-04-10,N?,"B??nh ?????nh",Kinh,Kh??ng,??C_TH?N,0911000119,huong.vtt@gmail.com,huong.vtt@company.com,,"B??nh ?????nh","Q.C???m L???, ???? N???ng",1,,1100000119,9,"CN ??N","V?? V??n T??m",0911100119,B???,ĐANG_LÀM_VIỆC,2019-02-01,2019-02-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
120,NV0120,"Tr???n Minh Nh???t",1988-08-15,NAM,"Ph?? Y??n",Kinh,Kh??ng,??_K?T_H?N,0911000120,nhat.tm@gmail.com,nhat.tm@company.com,,"Ph?? Y??n","Q.H???i Ch??u, ???? N???ng",1,,1100000120,10,"CN ??N","L?? Th??? Thu",0911100120,V???,ĐANG_LÀM_VIỆC,2013-10-01,2013-10-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
121,NV0121,"L?? Th??? Ng???c Di???m",1996-05-05,N?,"???? N???ng",Kinh,Kh??ng,??C_TH?N,0911000121,diem.ltn@gmail.com,diem.ltn@company.com,,"???? N???ng","Q.S??n Tr??, ???? N???ng",1,,1100000121,1,"CN ??N","L?? V??n Ph??c",0911100121,B???,ĐANG_LÀM_VIỆC,2022-03-01,2022-03-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
122,NV0122,"Phan Thanh D??ng",1991-01-19,NAM,"Kh??nh H??a",Kinh,Kh??ng,??_K?T_H?N,0911000122,dung.pt@gmail.com,dung.pt@company.com,,"Kh??nh H??a","Q.Ng?? H??nh S??n, ???? N???ng",1,,1100000122,2,"CN ??N","Nguy???n Th??? H???ng",0911100122,V???,ĐANG_LÀM_VIỆC,2014-12-01,2014-12-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
123,NV0123,"Nguy???n V??n Kh??nh",1992-06-14,NAM,"H?? N???i",Kinh,Kh??ng,??_K?T_H?N,0911000123,khanh.nv@gmail.com,khanh.nv@company.com,,"H?? N???i","Q.?????ng ??a, H?? N???i",1,,1100000123,3,"CN HN","Tr???n Th??? Hoa",0911100123,V???,ĐÃ_NGHỈ_VIỆC,2016-04-01,2016-04-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
124,NV0124,"Tr???n Th??? B???o Ng???c",1994-09-22,N?,TP.HCM,Kinh,Kh??ng,??C_TH?N,0911000124,ngoc.ttb@gmail.com,ngoc.ttb@company.com,,TP.HCM,"Q.1, TP.HCM",1,,1100000124,4,"CN HCM","Tr???n V??n Long",0911100124,B???,ĐANG_LÀM_VIỆC,2019-10-01,2019-10-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
125,NV0125,"L?? H???ng Quang",1990-12-30,NAM,"???? N???ng",Kinh,Kh??ng,??_K?T_H?N,0911000125,quang.lh@gmail.com,quang.lh@company.com,,"???? N???ng","Q.H???i Ch??u, ???? N???ng",1,,1100000125,5,"CN ??N","Ph???m Th??? Thu",0911100125,V???,ĐANG_LÀM_VIỆC,2015-06-01,2015-06-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
126,NV0126,"Ph???m Th??? Di???m H????ng",1996-03-08,N?,"H?? N???i",Kinh,Kh??ng,??C_TH?N,0911000126,huong.ptd@gmail.com,huong.ptd@company.com,,"H?? N???i","Q.Thanh Xu??n, H?? N???i",1,,1100000126,6,"CN HN","Ph???m V??n Khi??m",0911100126,B???,THỬ_VIỆC,2024-03-15,2024-03-15,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
127,NV0127,"????? Minh Th??nh",1988-07-17,NAM,"H???i Ph??ng",Kinh,Kh??ng,??_K?T_H?N,0911000127,thanh.dm@gmail.com,thanh.dm@company.com,,"H???i Ph??ng","Q.Ng?? Quy???n, H???i Ph??ng",1,,1100000127,7,"CN HP","L?? Th??? Hoa",0911100127,V???,ĐANG_LÀM_VIỆC,2012-11-01,2012-11-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
128,NV0128,"Mai Th??? Tuy???t Nhi",1997-11-25,N?,TP.HCM,Kinh,Kh??ng,??C_TH?N,0911000128,nhi.mtt@gmail.com,nhi.mtt@company.com,,TP.HCM,"Q.3, TP.HCM",1,,1100000128,8,"CN HCM","Mai V??n Phong",0911100128,B???,ĐANG_LÀM_VIỆC,2023-08-01,2023-08-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
129,NV0129,"Ho??ng Th??? Ph????ng Th???o",1993-02-14,N?,"???? N???ng",Kinh,Kh??ng,??_K?T_H?N,0911000129,thao.htp@gmail.com,thao.htp@company.com,,"???? N???ng","Q.S??n Tr??, ???? N???ng",1,,1100000129,9,"CN ??N","Nguy???n V??n H??ng",0911100129,Ch???ng,ĐANG_LÀM_VIỆC,2018-04-01,2018-04-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
130,NV0130,"Tr???nh Qu???c ?????i",1991-10-03,NAM,"Qu???ng Nam",Kinh,Kh??ng,??_K?T_H?N,0911000130,dai.tq@gmail.com,dai.tq@company.com,,"Qu???ng Nam","Q.Thanh Kh??, ???? N???ng",1,,1100000130,10,"CN ??N","Ph???m Th??? Nguy???t",0911100130,V???,ĐANG_LÀM_VIỆC,2016-08-01,2016-08-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
